Date,spot_ER_India,SR_interest_rate_india,SR_interest_rate_USA,SR_Interest_rate_diff_I_U,CPI_Inflation_India,CPI_inflation_USA,CPI_inflation_diff_I_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_india,US_EMV,US_MPU
2014-03-01,60.95,9,0.08,8.92,6.7,1.51,5.18,7.91,111.73,0.24,15.19,97
2014-04-01,60.35,9,0.09,8.91,7.08,1.95,5.13,10.98,105.48,0.1,18.06,64
2014-05-01,59.28,9,0.09,8.91,7.02,2.13,4.89,7.63,106.49,0.1,13.74,116
2014-06-01,59.74,9,0.1,8.9,6.49,2.07,4.42,9.88,89.34,0.12,11.84,74
2014-07-01,60.1,9,0.09,8.91,7.23,1.99,5.24,-1.42,97.24,0.15,14.06,111
2014-08-01,60.87,9,0.09,8.91,6.75,1.7,5.05,-9.51,107.81,0.16,14.35,123
2014-09-01,60.9,9,0.09,8.91,6.3,1.66,4.64,-12.33,129.71,0.14,11.19,82
2014-10-01,61.37,9,0.09,8.91,4.98,1.66,3.31,-16.06,122.64,0.13,21.93,89
2014-11-01,61.68,9,0.09,8.91,4.12,1.32,2.79,-19.33,120.16,0.15,13.9,42
2014-12-01,62.71,9,0.12,8.88,5.86,0.76,5.1,-39.59,113.89,0.2,14.29,55
2015-01-01,62.13,8.85,0.11,8.74,7.17,-0.09,7.26,-49.92,142.65,0.22,23.34,168
2015-02-01,61.99,8.75,0.11,8.64,6.3,-0.03,6.33,-49.5,118.92,0.12,14.08,144
2015-03-01,62.48,8.5,0.11,8.39,6.28,-0.07,6.35,-52.49,106.73,0.13,12.38,150
2015-04-01,62.64,8.5,0.12,8.38,5.79,-0.2,5.98,-46.78,100.93,0.19,14.47,108
2015-05-01,63.72,8.5,0.12,8.38,5.74,-0.04,5.78,-41.77,103.19,0.11,11.77,104
2015-06-01,63.78,8.25,0.13,8.12,6.1,0.12,5.97,-43.15,115.41,0.1,14.93,115
2015-07-01,63.6,8.25,0.13,8.12,4.37,0.17,4.2,-50.27,127.98,0.19,23.86,148
2015-08-01,65.1,8.25,0.14,8.11,4.35,0.2,4.15,-55.45,130.18,0.1,31.48,222
2015-09-01,66.17,8.25,0.14,8.11,5.14,-0.04,5.17,-51.21,178.06,0.07,24.71,276
2015-10-01,65.03,7.75,0.12,7.63,6.32,0.17,6.15,-45.18,125.85,0.09,19.64,199
2015-11-01,66.1,7.75,0.12,7.63,6.72,0.5,6.22,-43.75,100.64,0.21,13.43,91
2015-12-01,66.5,7.75,0.24,7.51,6.32,0.73,5.59,-36.77,116.66,0.27,16.98,120
2016-01-01,67.33,7.75,0.34,7.41,5.91,1.37,4.53,-33.17,146.44,0.22,28.64,188
2016-02-01,68.24,7.75,0.38,7.37,5.53,1.02,4.52,-40.27,155.38,0.08,24.87,203
2016-03-01,66.89,7.75,0.36,7.39,5.51,0.85,4.66,-20.68,169.46,0.15,17.74,126
2016-04-01,66.42,7.15,0.37,6.78,5.86,1.13,4.73,-24.54,147.88,0.13,13.3,94
2016-05-01,66.89,7,0.37,6.63,6.59,1.02,5.57,-21.13,130.77,0.08,14.47,67
2016-06-01,67.27,7,0.38,6.62,6.13,1,5.13,-18.45,235.7,0.11,20.14,358
2016-07-01,67.16,7,0.39,6.61,6.46,0.83,5.64,-12.31,227.77,0.28,16.57,273
2016-08-01,66.9,7,0.4,6.6,5.3,1.06,4.24,4.29,146.62,0.13,14.33,132
2016-09-01,66.71,7,0.4,6.6,4.14,1.46,2.67,-0.68,154.22,0.18,13.76,109
2016-10-01,66.74,6.75,0.4,6.35,3.35,1.64,1.71,7.65,131.36,0.17,13.28,124
2016-11-01,67.64,6.75,0.41,6.34,2.59,1.69,0.9,6.78,241.84,0.12,18.36,291
2016-12-01,67.81,6.75,0.54,6.21,2.23,2.07,0.16,39.19,231.63,0.16,12.27,157
2017-01-01,68.05,6.75,0.65,6.1,1.86,2.5,-0.64,65.37,275.3,0.18,17.74,230
2017-02-01,66.97,6.75,0.66,6.09,2.62,2.74,-0.12,75.95,208.11,0.17,15.7,132
2017-03-01,65.8,6.75,0.79,5.96,2.61,2.38,0.23,30.24,245.85,0.14,14.35,120
2017-04-01,64.54,6.5,0.9,5.6,2.21,2.2,0.01,24.72,181.68,0.15,17.04,131
2017-05-01,64.42,6.5,0.91,5.59,1.09,1.87,-0.78,3.67,167.46,0.09,11.8,109
2017-06-01,64.45,6.5,1.04,5.46,1.08,1.63,-0.55,-7.39,170.78,0.23,12.23,131
2017-07-01,64.42,6.5,1.15,5.35,1.79,1.73,0.06,3.75,150.22,0.14,14.35,156
2017-08-01,63.97,6.25,1.16,5.09,2.52,1.94,0.58,7.37,141.24,0.18,16.16,132
2017-09-01,64.48,6.25,1.15,5.1,2.89,2.23,0.66,10.03,160.92,0.28,9.57,112
2017-10-01,65.04,6.25,1.15,5.1,3.24,2.04,1.2,3.54,155.99,0.12,12.17,79
2017-11-01,64.84,6.25,1.16,5.09,3.97,2.2,1.77,24.78,160.73,0.16,15.36,84
2017-12-01,64.24,6.25,1.3,4.95,4,2.11,1.89,11.27,155.04,0.06,18.27,94
2018-01-01,63.65,6.25,1.41,4.84,5.11,2.07,3.04,20.97,146.56,0.18,17.54,76
2018-02-01,64.43,6.25,1.42,4.83,4.74,2.21,2.53,16.42,127.24,0.08,26.63,128
